Symptoms,Medicines
"headache, runny nose, allergy, bacterial infection, fever","paracetamol, cetirizine, azithromycin"
cold,cetirizine
"fever, bacterial infection, body pain, allergy","paracetamol, cetirizine, azithromycin"
"fever, acidity","paracetamol, aciloc"
"stomach pain, body pain, acidity, cough","azithromycin, diclofenac, aciloc"
"headache, cold, stomach pain","cetirizine, diclofenac, aciloc"
"runny nose, acidity, sore throat, cold, body pain","cetirizine, azithromycin, diclofenac, aciloc"
"body pain, headache",diclofenac
"swelling, allergy, headache, sneezing","cetirizine, diclofenac"
swelling,diclofenac
fever,paracetamol
"headache, bacterial infection, sneezing, stomach pain, inflammation","cetirizine, azithromycin, diclofenac, aciloc"
"acidity, body pain, swelling, cold, headache","cetirizine, diclofenac, aciloc"
"swelling, sore throat, sneezing, headache, stomach pain","cetirizine, azithromycin, diclofenac, aciloc"
"body pain, sore throat","azithromycin, diclofenac"
swelling,diclofenac
"acidity, bacterial infection","azithromycin, aciloc"
"acidity, cough, headache, swelling, body pain","azithromycin, diclofenac, aciloc"
body pain,diclofenac
"allergy, body pain, runny nose, cough, headache","cetirizine, azithromycin, diclofenac"
"runny nose, cold, body pain, allergy, sneezing","cetirizine, diclofenac"
"inflammation, body pain, sore throat, cold, stomach pain","cetirizine, azithromycin, diclofenac, aciloc"
"sneezing, runny nose",cetirizine
"stomach pain, headache, inflammation","diclofenac, aciloc"
runny nose,cetirizine
"body pain, headache, cold, stomach pain, bacterial infection","cetirizine, azithromycin, diclofenac, aciloc"
"runny nose, headache, sore throat, acidity","cetirizine, azithromycin, diclofenac, aciloc"
"acidity, sore throat, body pain, bacterial infection","azithromycin, diclofenac, aciloc"
"swelling, cold","cetirizine, diclofenac"
"swelling, runny nose","cetirizine, diclofenac"
sore throat,azithromycin
"fever, acidity, inflammation, headache","paracetamol, diclofenac, aciloc"
"bacterial infection, sneezing, inflammation","cetirizine, azithromycin, diclofenac"
"swelling, allergy","cetirizine, diclofenac"
"cold, fever, swelling, runny nose, sneezing","paracetamol, cetirizine, diclofenac"
"allergy, runny nose",cetirizine
bacterial infection,azithromycin
"body pain, inflammation, fever, stomach pain","paracetamol, diclofenac, aciloc"
"runny nose, inflammation, acidity","cetirizine, diclofenac, aciloc"
"allergy, bacterial infection, fever, acidity","paracetamol, cetirizine, azithromycin, aciloc"
"cold, bacterial infection, allergy","cetirizine, azithromycin"
"allergy, sore throat","cetirizine, azithromycin"
"sore throat, bacterial infection",azithromycin
"swelling, headache",diclofenac
swelling,diclofenac
"acidity, fever, body pain","paracetamol, aciloc"
"acidity, runny nose","cetirizine, aciloc"
"fever, swelling, runny nose, cold, body pain","paracetamol, cetirizine, diclofenac"
"swelling, stomach pain","diclofenac, aciloc"
body pain,diclofenac
"body pain, swelling",diclofenac
"sneezing, bacterial infection, cold, body pain, acidity","cetirizine, azithromycin, diclofenac, aciloc"
cough,azithromycin
"sore throat, fever, stomach pain, swelling, runny nose","azithromycin, aciloc, paracetamol, cetirizine, diclofenac"
swelling,diclofenac
"allergy, stomach pain, sneezing, inflammation","cetirizine, diclofenac, aciloc"
"cough, swelling, sore throat, body pain, runny nose","cetirizine, azithromycin, diclofenac"
"headache, acidity, body pain","diclofenac, aciloc"
"body pain, sneezing","cetirizine, diclofenac"
"sneezing, stomach pain, sore throat, swelling","cetirizine, azithromycin, diclofenac, aciloc"
"acidity, cough, sore throat, swelling, runny nose","cetirizine, azithromycin, diclofenac, aciloc"
"sneezing, sore throat, cold","cetirizine, azithromycin"
"sore throat, cold, cough, allergy","cetirizine, azithromycin"
"swelling, inflammation, acidity","diclofenac, aciloc"
"headache, bacterial infection, body pain, inflammation, stomach pain","azithromycin, diclofenac, aciloc"
"headache, cold, runny nose, sore throat, body pain","cetirizine, azithromycin, diclofenac"
"sore throat, swelling, acidity","azithromycin, diclofenac, aciloc"
"inflammation, swelling",diclofenac
swelling,diclofenac
"allergy, body pain, stomach pain","cetirizine, diclofenac, aciloc"
"headache, stomach pain, runny nose, swelling, sore throat","cetirizine, azithromycin, diclofenac, aciloc"
"allergy, body pain","cetirizine, diclofenac"
"inflammation, fever","paracetamol, diclofenac"
"headache, allergy, cough","cetirizine, azithromycin, diclofenac"
"bacterial infection, sneezing, acidity, sore throat, inflammation","cetirizine, azithromycin, diclofenac, aciloc"
"stomach pain, allergy, swelling, body pain","cetirizine, diclofenac, aciloc"
"cold, cough, fever, body pain","paracetamol, cetirizine, azithromycin"
"headache, fever",paracetamol
"inflammation, swelling, stomach pain","diclofenac, aciloc"
inflammation,diclofenac
"bacterial infection, allergy, runny nose, sneezing, fever","paracetamol, cetirizine, azithromycin"
"headache, inflammation, stomach pain, fever","paracetamol, diclofenac, aciloc"
"fever, sore throat, acidity","paracetamol, azithromycin, aciloc"
"cough, acidity, inflammation","azithromycin, diclofenac, aciloc"
"inflammation, bacterial infection, cold, acidity","cetirizine, azithromycin, diclofenac, aciloc"
"sore throat, bacterial infection, runny nose, allergy, body pain","cetirizine, azithromycin, diclofenac"
acidity,aciloc
"body pain, acidity, allergy, stomach pain, cough","cetirizine, azithromycin, diclofenac, aciloc"
sneezing,cetirizine
"body pain, cough, cold, fever, inflammation","paracetamol, cetirizine, azithromycin, diclofenac"
"inflammation, allergy, cough","cetirizine, azithromycin, diclofenac"
"cough, stomach pain, headache, allergy, bacterial infection","cetirizine, azithromycin, diclofenac, aciloc"
"bacterial infection, cough, runny nose, inflammation","cetirizine, azithromycin, diclofenac"
"sore throat, runny nose, headache","cetirizine, azithromycin, diclofenac"
"acidity, stomach pain",aciloc
"inflammation, acidity","diclofenac, aciloc"
"allergy, body pain, stomach pain","cetirizine, diclofenac, aciloc"
"body pain, sore throat, runny nose","cetirizine, azithromycin, diclofenac"
swelling,diclofenac
"acidity, sore throat, inflammation, cold","cetirizine, azithromycin, diclofenac, aciloc"
"bacterial infection, allergy, runny nose, stomach pain","cetirizine, azithromycin, aciloc"
fever,paracetamol
"bacterial infection, swelling, fever, stomach pain","paracetamol, azithromycin, diclofenac, aciloc"
inflammation,diclofenac
"cold, acidity","cetirizine, aciloc"
"runny nose, inflammation","cetirizine, diclofenac"
headache,diclofenac
"sneezing, cough, cold, swelling","cetirizine, azithromycin, diclofenac"
"swelling, inflammation, acidity, cold, allergy","cetirizine, diclofenac, aciloc"
"bacterial infection, cold, inflammation, sneezing, headache","cetirizine, azithromycin, diclofenac"
"sneezing, body pain","cetirizine, diclofenac"
"swelling, stomach pain","diclofenac, aciloc"
"runny nose, acidity, bacterial infection, cold","cetirizine, azithromycin, aciloc"
"acidity, fever, sneezing","paracetamol, cetirizine, aciloc"
body pain,diclofenac
"headache, acidity, runny nose, cold","cetirizine, diclofenac, aciloc"
"runny nose, body pain, cold","cetirizine, diclofenac"
"acidity, sneezing","cetirizine, aciloc"
headache,diclofenac
"cough, fever, headache, stomach pain","paracetamol, azithromycin, aciloc"
"inflammation, sore throat","azithromycin, diclofenac"
"acidity, bacterial infection, allergy","cetirizine, azithromycin, aciloc"
"swelling, bacterial infection, inflammation, cold, sneezing","cetirizine, azithromycin, diclofenac"
"acidity, sore throat, runny nose","cetirizine, azithromycin, aciloc"
acidity,aciloc
"body pain, runny nose, stomach pain, cough, inflammation","cetirizine, azithromycin, diclofenac, aciloc"
swelling,diclofenac
"bacterial infection, cough, fever, allergy","paracetamol, cetirizine, azithromycin"
"headache, bacterial infection, sneezing, runny nose","cetirizine, azithromycin, diclofenac"
"acidity, body pain, headache, inflammation, runny nose","cetirizine, diclofenac, aciloc"
stomach pain,aciloc
"sneezing, cough, stomach pain","cetirizine, azithromycin, aciloc"
bacterial infection,azithromycin
"body pain, swelling",diclofenac
"stomach pain, body pain, swelling","diclofenac, aciloc"
"inflammation, bacterial infection, headache","azithromycin, diclofenac"
runny nose,cetirizine
"headache, stomach pain","diclofenac, aciloc"
runny nose,cetirizine
"sneezing, body pain","cetirizine, diclofenac"
"runny nose, fever","paracetamol, cetirizine"
"fever, stomach pain, allergy, swelling","paracetamol, cetirizine, diclofenac, aciloc"
"sneezing, headache, acidity","cetirizine, diclofenac, aciloc"
sneezing,cetirizine
cough,azithromycin
"fever, headache",paracetamol
runny nose,cetirizine
"cough, inflammation","azithromycin, diclofenac"
"acidity, fever, body pain, sore throat","paracetamol, azithromycin, aciloc"
"sore throat, swelling, body pain","azithromycin, diclofenac"
"bacterial infection, sneezing, acidity, fever, inflammation","azithromycin, aciloc, paracetamol, cetirizine, diclofenac"
"bacterial infection, acidity, allergy, cold, body pain","cetirizine, azithromycin, diclofenac, aciloc"
acidity,aciloc
"inflammation, sneezing, stomach pain","cetirizine, diclofenac, aciloc"
body pain,diclofenac
"body pain, cough","azithromycin, diclofenac"
cough,azithromycin
"sneezing, fever, stomach pain","paracetamol, cetirizine, aciloc"
"bacterial infection, inflammation, cold, allergy","cetirizine, azithromycin, diclofenac"
"stomach pain, sore throat, runny nose, fever","paracetamol, cetirizine, azithromycin, aciloc"
"sore throat, swelling","azithromycin, diclofenac"
"sore throat, cough",azithromycin
"stomach pain, inflammation","diclofenac, aciloc"
"fever, sneezing, body pain, cold, bacterial infection","paracetamol, cetirizine, azithromycin"
"fever, headache, swelling","paracetamol, diclofenac"
"swelling, runny nose, acidity, body pain","cetirizine, diclofenac, aciloc"
body pain,diclofenac
"inflammation, swelling, sore throat","azithromycin, diclofenac"
"acidity, allergy, inflammation, cold, sore throat","cetirizine, azithromycin, diclofenac, aciloc"
"stomach pain, bacterial infection, sore throat, allergy","cetirizine, azithromycin, aciloc"
"headache, allergy","cetirizine, diclofenac"
"body pain, sneezing, headache, runny nose","cetirizine, diclofenac"
fever,paracetamol
"stomach pain, headache","diclofenac, aciloc"
"body pain, bacterial infection, cough","azithromycin, diclofenac"
bacterial infection,azithromycin
cold,cetirizine
sore throat,azithromycin
"bacterial infection, body pain","azithromycin, diclofenac"
"runny nose, fever, inflammation, cold, acidity","paracetamol, cetirizine, diclofenac, aciloc"
"cold, fever, sneezing, body pain","paracetamol, cetirizine"
"cold, sneezing, allergy, sore throat, swelling","cetirizine, azithromycin, diclofenac"
fever,paracetamol
"body pain, runny nose, allergy","cetirizine, diclofenac"
headache,diclofenac
"cough, body pain, acidity, stomach pain","azithromycin, diclofenac, aciloc"
"headache, sore throat, stomach pain, body pain","azithromycin, diclofenac, aciloc"
"sneezing, headache","cetirizine, diclofenac"
runny nose,cetirizine
"cold, runny nose, cough, stomach pain, sore throat","cetirizine, azithromycin, aciloc"
"runny nose, stomach pain","cetirizine, aciloc"
"body pain, acidity","diclofenac, aciloc"
"headache, cough, stomach pain, inflammation","azithromycin, diclofenac, aciloc"
"allergy, body pain, stomach pain, headache, acidity","cetirizine, diclofenac, aciloc"
"runny nose, sore throat, cold, sneezing, cough","cetirizine, azithromycin"
"stomach pain, sneezing, allergy","cetirizine, aciloc"
fever,paracetamol
"headache, acidity, sore throat, body pain","azithromycin, diclofenac, aciloc"
"bacterial infection, fever, inflammation, stomach pain, allergy","azithromycin, aciloc, paracetamol, cetirizine, diclofenac"
runny nose,cetirizine
"fever, allergy, swelling, acidity","paracetamol, cetirizine, diclofenac, aciloc"
"headache, fever",paracetamol
"runny nose, swelling, sore throat, acidity","cetirizine, azithromycin, diclofenac, aciloc"
"sneezing, inflammation, acidity","cetirizine, diclofenac, aciloc"
fever,paracetamol
"allergy, headache","cetirizine, diclofenac"
cold,cetirizine
"runny nose, cold, body pain, cough, fever","paracetamol, cetirizine, azithromycin"
fever,paracetamol
"stomach pain, cold, sore throat, allergy, runny nose","cetirizine, azithromycin, aciloc"
"swelling, allergy, body pain, bacterial infection, sore throat","cetirizine, azithromycin, diclofenac"
"cough, allergy, sneezing, runny nose","cetirizine, azithromycin"
"bacterial infection, fever, acidity, runny nose, cold","paracetamol, cetirizine, azithromycin, aciloc"
body pain,diclofenac
"acidity, sore throat","azithromycin, aciloc"
"cold, fever, headache, sore throat","paracetamol, cetirizine, azithromycin"
"runny nose, cold, cough, fever, allergy","paracetamol, cetirizine, azithromycin"
inflammation,diclofenac
"cough, headache","azithromycin, diclofenac"
"headache, cough, swelling, inflammation","azithromycin, diclofenac"
"swelling, sneezing","cetirizine, diclofenac"
"cough, runny nose, cold","cetirizine, azithromycin"
"headache, sneezing, fever","paracetamol, cetirizine"
"swelling, body pain, sneezing, acidity","cetirizine, diclofenac, aciloc"
"bacterial infection, allergy, headache, sore throat, fever","paracetamol, cetirizine, azithromycin"
"inflammation, cold","cetirizine, diclofenac"
"inflammation, cough","azithromycin, diclofenac"
"runny nose, acidity","cetirizine, aciloc"
"runny nose, cold, inflammation, sneezing","cetirizine, diclofenac"
"swelling, fever, allergy, sore throat, body pain","paracetamol, cetirizine, azithromycin, diclofenac"
"runny nose, bacterial infection, sneezing, cough","cetirizine, azithromycin"
swelling,diclofenac
"stomach pain, swelling, acidity, runny nose","cetirizine, diclofenac, aciloc"
"runny nose, bacterial infection, sore throat, cough, fever","paracetamol, cetirizine, azithromycin"
"allergy, acidity, swelling, stomach pain, inflammation","cetirizine, diclofenac, aciloc"
"swelling, cough, stomach pain","azithromycin, diclofenac, aciloc"
"allergy, body pain, headache, bacterial infection, sneezing","cetirizine, azithromycin, diclofenac"
"stomach pain, headache","diclofenac, aciloc"
"inflammation, stomach pain, swelling, cold","cetirizine, diclofenac, aciloc"
sneezing,cetirizine
"stomach pain, swelling, headache, sneezing","cetirizine, diclofenac, aciloc"
"body pain, headache, cold","cetirizine, diclofenac"
"bacterial infection, acidity, headache","azithromycin, diclofenac, aciloc"
stomach pain,aciloc
"inflammation, bacterial infection, sore throat, sneezing, allergy","cetirizine, azithromycin, diclofenac"
"fever, swelling, sneezing, bacterial infection, body pain","paracetamol, cetirizine, azithromycin, diclofenac"
inflammation,diclofenac
bacterial infection,azithromycin
"headache, bacterial infection, cold, runny nose","cetirizine, azithromycin, diclofenac"
"cold, body pain, swelling","cetirizine, diclofenac"
fever,paracetamol
"sneezing, stomach pain","cetirizine, aciloc"
"cold, cough, stomach pain, headache","cetirizine, azithromycin, diclofenac, aciloc"
"sneezing, allergy",cetirizine
"headache, allergy, inflammation, sneezing, acidity","cetirizine, diclofenac, aciloc"
allergy,cetirizine
"headache, sneezing","cetirizine, diclofenac"
"inflammation, cough, stomach pain","azithromycin, diclofenac, aciloc"
body pain,diclofenac
"sore throat, body pain, inflammation, allergy","cetirizine, azithromycin, diclofenac"
cough,azithromycin
"cough, bacterial infection",azithromycin
"cold, stomach pain, allergy, runny nose","cetirizine, aciloc"
"cough, stomach pain","azithromycin, aciloc"
"swelling, headache, cough","azithromycin, diclofenac"
"inflammation, body pain, runny nose","cetirizine, diclofenac"
"body pain, fever, sore throat, swelling","paracetamol, azithromycin, diclofenac"
"cold, body pain","cetirizine, diclofenac"
acidity,aciloc
"swelling, stomach pain, sneezing","cetirizine, diclofenac, aciloc"
fever,paracetamol
"runny nose, allergy, headache, inflammation","cetirizine, diclofenac"
"fever, inflammation, sneezing, bacterial infection, headache","paracetamol, cetirizine, azithromycin, diclofenac"
"stomach pain, body pain, fever, cold","paracetamol, cetirizine, aciloc"
"sneezing, cold",cetirizine
"sore throat, cold, sneezing","cetirizine, azithromycin"
"bacterial infection, body pain","azithromycin, diclofenac"
"runny nose, cold",cetirizine
"allergy, cold, swelling","cetirizine, diclofenac"
"runny nose, bacterial infection","cetirizine, azithromycin"
"body pain, runny nose, headache, inflammation","cetirizine, diclofenac"
"runny nose, sore throat, acidity","cetirizine, azithromycin, aciloc"
"acidity, inflammation, stomach pain, bacterial infection, swelling","azithromycin, diclofenac, aciloc"
"inflammation, bacterial infection, cold, sore throat","cetirizine, azithromycin, diclofenac"
"stomach pain, allergy, swelling, acidity","cetirizine, diclofenac, aciloc"
"headache, fever, sneezing, allergy","paracetamol, cetirizine"
"body pain, stomach pain, cold","cetirizine, diclofenac, aciloc"
"swelling, body pain, headache",diclofenac
"inflammation, runny nose","cetirizine, diclofenac"
"inflammation, cold, runny nose","cetirizine, diclofenac"
"swelling, inflammation, allergy, body pain","cetirizine, diclofenac"
"body pain, bacterial infection, sneezing","cetirizine, azithromycin, diclofenac"
"fever, allergy, sneezing","paracetamol, cetirizine"
"allergy, inflammation, body pain, runny nose","cetirizine, diclofenac"
"sneezing, cold",cetirizine
"sore throat, cold, body pain, stomach pain, acidity","cetirizine, azithromycin, diclofenac, aciloc"
"sneezing, cough, body pain, swelling, bacterial infection","cetirizine, azithromycin, diclofenac"
"swelling, cough, fever, runny nose, headache","paracetamol, cetirizine, azithromycin, diclofenac"
"fever, allergy, runny nose","paracetamol, cetirizine"
"fever, sneezing, runny nose","paracetamol, cetirizine"
"sore throat, cold, bacterial infection, swelling","cetirizine, azithromycin, diclofenac"
"sneezing, stomach pain, acidity, cold","cetirizine, aciloc"
"swelling, sneezing, stomach pain","cetirizine, diclofenac, aciloc"
"fever, cold, sneezing, sore throat","paracetamol, cetirizine, azithromycin"
allergy,cetirizine
body pain,diclofenac
bacterial infection,azithromycin
"headache, cough, cold","cetirizine, azithromycin, diclofenac"
acidity,aciloc
"swelling, allergy","cetirizine, diclofenac"
"inflammation, cold","cetirizine, diclofenac"
"inflammation, stomach pain, swelling, headache","diclofenac, aciloc"
"swelling, cold, acidity, headache","cetirizine, diclofenac, aciloc"
"acidity, bacterial infection, cold","cetirizine, azithromycin, aciloc"
"bacterial infection, fever, sneezing, cold, body pain","paracetamol, cetirizine, azithromycin"
allergy,cetirizine
swelling,diclofenac
"allergy, fever, stomach pain, inflammation","paracetamol, cetirizine, diclofenac, aciloc"
"sneezing, body pain, sore throat, inflammation, allergy","cetirizine, azithromycin, diclofenac"
"swelling, sore throat","azithromycin, diclofenac"
"fever, swelling, headache, cough","paracetamol, azithromycin, diclofenac"
"fever, acidity","paracetamol, aciloc"
acidity,aciloc
"allergy, bacterial infection","cetirizine, azithromycin"
"cold, sneezing",cetirizine
"body pain, sneezing, cold","cetirizine, diclofenac"
"headache, sore throat, allergy, runny nose","cetirizine, azithromycin, diclofenac"
"acidity, headache, swelling, cold","cetirizine, diclofenac, aciloc"
headache,diclofenac
"allergy, inflammation, body pain, sore throat, acidity","cetirizine, azithromycin, diclofenac, aciloc"
"cough, acidity, bacterial infection, sore throat","azithromycin, aciloc"
"body pain, inflammation, bacterial infection","azithromycin, diclofenac"
stomach pain,aciloc
"allergy, headache, fever","paracetamol, cetirizine"
"swelling, fever, sneezing, allergy, body pain","paracetamol, cetirizine, diclofenac"
"stomach pain, cough, cold, swelling","cetirizine, azithromycin, diclofenac, aciloc"
"swelling, runny nose, fever, cold","paracetamol, cetirizine, diclofenac"
"runny nose, fever, inflammation","paracetamol, cetirizine, diclofenac"
stomach pain,aciloc
"inflammation, cold, acidity, body pain","cetirizine, diclofenac, aciloc"
"cold, swelling, allergy","cetirizine, diclofenac"
"swelling, runny nose, acidity, bacterial infection","cetirizine, azithromycin, diclofenac, aciloc"
"headache, runny nose, sore throat, swelling","cetirizine, azithromycin, diclofenac"
"swelling, headache, runny nose, stomach pain","cetirizine, diclofenac, aciloc"
"cold, headache, runny nose","cetirizine, diclofenac"
"sneezing, bacterial infection, swelling, fever, cold","paracetamol, cetirizine, azithromycin, diclofenac"
cold,cetirizine
fever,paracetamol
"stomach pain, fever, bacterial infection, swelling","paracetamol, azithromycin, diclofenac, aciloc"
"sneezing, sore throat, stomach pain, headache, fever","paracetamol, cetirizine, azithromycin, aciloc"
"inflammation, sore throat, bacterial infection, acidity, swelling","azithromycin, diclofenac, aciloc"
headache,diclofenac
"fever, acidity, runny nose","paracetamol, cetirizine, aciloc"
inflammation,diclofenac
"inflammation, acidity","diclofenac, aciloc"
fever,paracetamol
"fever, headache",paracetamol
"sneezing, fever, swelling, allergy, bacterial infection","paracetamol, cetirizine, azithromycin, diclofenac"
"inflammation, headache, sneezing","cetirizine, diclofenac"
"stomach pain, allergy, runny nose","cetirizine, aciloc"
"fever, bacterial infection, runny nose, allergy","paracetamol, cetirizine, azithromycin"
"runny nose, bacterial infection, cough, allergy","cetirizine, azithromycin"
runny nose,cetirizine
"allergy, swelling, sore throat","cetirizine, azithromycin, diclofenac"
"sneezing, headache, allergy, bacterial infection","cetirizine, azithromycin, diclofenac"
"runny nose, fever, cough","paracetamol, cetirizine, azithromycin"
"fever, sore throat, cold, bacterial infection","paracetamol, cetirizine, azithromycin"
"cold, inflammation, acidity","cetirizine, diclofenac, aciloc"
"body pain, swelling, inflammation, sore throat","azithromycin, diclofenac"
allergy,cetirizine
runny nose,cetirizine
runny nose,cetirizine
"stomach pain, body pain, bacterial infection, cough","azithromycin, diclofenac, aciloc"
"cold, bacterial infection, fever, stomach pain, runny nose","paracetamol, cetirizine, azithromycin, aciloc"
"cold, body pain","cetirizine, diclofenac"
"acidity, sore throat, bacterial infection, body pain, runny nose","cetirizine, azithromycin, diclofenac, aciloc"
"stomach pain, fever, headache","paracetamol, aciloc"
inflammation,diclofenac
"sneezing, cough, bacterial infection","cetirizine, azithromycin"
"swelling, sneezing, acidity, cold","cetirizine, diclofenac, aciloc"
"swelling, runny nose, sneezing","cetirizine, diclofenac"
"body pain, fever",paracetamol
"cough, runny nose, sneezing","cetirizine, azithromycin"
"acidity, swelling, headache","diclofenac, aciloc"
"swelling, body pain, fever, stomach pain, allergy","paracetamol, cetirizine, diclofenac, aciloc"
"swelling, sore throat, cough, acidity, sneezing","cetirizine, azithromycin, diclofenac, aciloc"
sore throat,azithromycin
"sneezing, swelling, fever","paracetamol, cetirizine, diclofenac"
"sneezing, acidity","cetirizine, aciloc"
"cough, runny nose, sore throat","cetirizine, azithromycin"
"bacterial infection, allergy, sneezing","cetirizine, azithromycin"
"cold, acidity, stomach pain","cetirizine, aciloc"
"cough, fever, body pain, inflammation","paracetamol, azithromycin, diclofenac"
"swelling, body pain",diclofenac
"swelling, body pain",diclofenac
"sneezing, inflammation, headache","cetirizine, diclofenac"
"swelling, inflammation, sneezing","cetirizine, diclofenac"
"cold, swelling, stomach pain","cetirizine, diclofenac, aciloc"
"swelling, acidity, headache, sore throat","azithromycin, diclofenac, aciloc"
"runny nose, inflammation, cough","cetirizine, azithromycin, diclofenac"
"cough, headache","azithromycin, diclofenac"
"cough, sneezing, headache","cetirizine, azithromycin, diclofenac"
"body pain, headache, fever, allergy","paracetamol, cetirizine"
fever,paracetamol
"acidity, cough, headache, runny nose, swelling","cetirizine, azithromycin, diclofenac, aciloc"
"headache, stomach pain, sneezing, cold","cetirizine, diclofenac, aciloc"
"cough, swelling","azithromycin, diclofenac"
"swelling, allergy, sore throat","cetirizine, azithromycin, diclofenac"
"cold, runny nose, swelling","cetirizine, diclofenac"
"swelling, inflammation, body pain",diclofenac
"acidity, stomach pain, cold, bacterial infection","cetirizine, azithromycin, aciloc"
runny nose,cetirizine
"sneezing, fever","paracetamol, cetirizine"
"swelling, body pain, inflammation",diclofenac
"runny nose, stomach pain","cetirizine, aciloc"
"fever, headache, body pain",paracetamol
"bacterial infection, body pain, sneezing, fever","paracetamol, cetirizine, azithromycin"
"cough, fever, acidity, runny nose","paracetamol, cetirizine, azithromycin, aciloc"
"sneezing, fever, cold","paracetamol, cetirizine"
"body pain, swelling, sneezing, cold, fever","paracetamol, cetirizine, diclofenac"
"allergy, stomach pain","cetirizine, aciloc"
"headache, cold, sneezing, body pain","cetirizine, diclofenac"
"bacterial infection, headache, sneezing","cetirizine, azithromycin, diclofenac"
"runny nose, cough","cetirizine, azithromycin"
"body pain, acidity, cold, stomach pain","cetirizine, diclofenac, aciloc"
"headache, sore throat","azithromycin, diclofenac"
"fever, cold","paracetamol, cetirizine"
"cough, fever","paracetamol, azithromycin"
"inflammation, cold, fever","paracetamol, cetirizine, diclofenac"
fever,paracetamol
"sore throat, sneezing","cetirizine, azithromycin"
"headache, cough, cold, sore throat","cetirizine, azithromycin, diclofenac"
"runny nose, cough, stomach pain, inflammation","cetirizine, azithromycin, diclofenac, aciloc"
"acidity, headache, sore throat, cold","cetirizine, azithromycin, diclofenac, aciloc"
"body pain, stomach pain, acidity, fever, cough","paracetamol, azithromycin, aciloc"
"cold, sore throat, sneezing, fever","paracetamol, cetirizine, azithromycin"
"runny nose, sneezing",cetirizine
"inflammation, headache",diclofenac
"bacterial infection, cold","cetirizine, azithromycin"
"bacterial infection, fever","paracetamol, azithromycin"
"sore throat, stomach pain, cold, allergy","cetirizine, azithromycin, aciloc"
"sore throat, inflammation","azithromycin, diclofenac"
"inflammation, headache",diclofenac
"headache, runny nose, stomach pain","cetirizine, diclofenac, aciloc"
"body pain, headache, cold, sore throat, cough","cetirizine, azithromycin, diclofenac"
"stomach pain, runny nose, inflammation","cetirizine, diclofenac, aciloc"
"runny nose, headache, sneezing","cetirizine, diclofenac"
"allergy, sore throat, sneezing","cetirizine, azithromycin"
"cough, acidity, runny nose","cetirizine, azithromycin, aciloc"
"sneezing, allergy",cetirizine
"sneezing, bacterial infection, stomach pain, sore throat, fever","paracetamol, cetirizine, azithromycin, aciloc"
"sneezing, swelling","cetirizine, diclofenac"
"stomach pain, runny nose","cetirizine, aciloc"
"swelling, body pain, allergy, headache, cold","cetirizine, diclofenac"
"headache, body pain, acidity, stomach pain, runny nose","cetirizine, diclofenac, aciloc"
"inflammation, swelling, acidity, bacterial infection, fever","paracetamol, azithromycin, diclofenac, aciloc"
"headache, cough, body pain, fever","paracetamol, azithromycin"
inflammation,diclofenac
"acidity, runny nose, inflammation","cetirizine, diclofenac, aciloc"
"sneezing, sore throat","cetirizine, azithromycin"
"fever, bacterial infection, inflammation, stomach pain","paracetamol, azithromycin, diclofenac, aciloc"
sneezing,cetirizine
acidity,aciloc
"sore throat, body pain, allergy","cetirizine, azithromycin, diclofenac"
"acidity, sore throat","azithromycin, aciloc"
"sore throat, stomach pain, swelling, runny nose","cetirizine, azithromycin, diclofenac, aciloc"
"cold, sore throat, stomach pain, fever, inflammation","azithromycin, aciloc, paracetamol, cetirizine, diclofenac"
"body pain, allergy, fever, cough, swelling","paracetamol, cetirizine, azithromycin, diclofenac"
"sore throat, cough, swelling","azithromycin, diclofenac"
"sneezing, inflammation","cetirizine, diclofenac"
"headache, inflammation",diclofenac
"sore throat, runny nose","cetirizine, azithromycin"
"sneezing, swelling","cetirizine, diclofenac"
body pain,diclofenac
"body pain, inflammation, swelling",diclofenac
"inflammation, fever","paracetamol, diclofenac"
fever,paracetamol
"sneezing, body pain, sore throat, fever","paracetamol, cetirizine, azithromycin"
"swelling, headache, body pain",diclofenac
"inflammation, headache, runny nose, sneezing, fever","paracetamol, cetirizine, diclofenac"
"inflammation, stomach pain","diclofenac, aciloc"
"runny nose, cold, cough, fever","paracetamol, cetirizine, azithromycin"
swelling,diclofenac
"sore throat, swelling","azithromycin, diclofenac"
sneezing,cetirizine
sneezing,cetirizine
"inflammation, swelling, stomach pain","diclofenac, aciloc"
"headache, allergy","cetirizine, diclofenac"
"bacterial infection, allergy, sore throat","cetirizine, azithromycin"
acidity,aciloc
"cough, body pain, cold, acidity, swelling","cetirizine, azithromycin, diclofenac, aciloc"
"sneezing, headache, acidity, sore throat, allergy","cetirizine, azithromycin, diclofenac, aciloc"
"body pain, swelling, inflammation",diclofenac
"swelling, cold, fever","paracetamol, cetirizine, diclofenac"
"sneezing, bacterial infection, acidity","cetirizine, azithromycin, aciloc"
"stomach pain, sneezing, headache, cough, body pain","cetirizine, azithromycin, diclofenac, aciloc"
sore throat,azithromycin
"runny nose, body pain, swelling","cetirizine, diclofenac"
"stomach pain, sneezing","cetirizine, aciloc"
"inflammation, bacterial infection","azithromycin, diclofenac"
cough,azithromycin
allergy,cetirizine
"headache, inflammation",diclofenac
"fever, sneezing, body pain","paracetamol, cetirizine"
"allergy, runny nose, sore throat, body pain","cetirizine, azithromycin, diclofenac"
"headache, fever, body pain",paracetamol
